article_id	work_id	journal_issue_id	work_volume_number	issue_number
article-031104	work-047118	journal-issue-010839	№ 1 (119)	1
article-031132	work-047146	journal-issue-010853	№ 2 (8)	2
article-031289	work-047303	journal-issue-010852	№ 1 (7)	1
article-031290	work-047304	journal-issue-010853	№ 2 (8)	2
article-031292	work-047306	journal-issue-010855	№ 5 (11)	5
article-031293	work-047307	journal-issue-010856	№ 6 (12)	6
article-031352	work-047366	journal-issue-010864	№ 3 (29)	3
article-031572	work-047586	journal-issue-010863	№ 2 (28)	2
article-031712	work-047727	journal-issue-010947	№ 5 (27)	5
article-031732	work-047747	journal-issue-010988	№ 1 (64)	1
article-031737	work-047752	journal-issue-010991	№ 7 (70)	7
article-031739	work-047754	journal-issue-010992	№ 8 (71)	8
article-031743	work-047758	journal-issue-010948	№ 6 (28)	6
article-031754	work-047769	journal-issue-010949	№ 9 (31)	9
article-031777	work-047792	journal-issue-011014	№ 5; № 6	5
article-031784	work-047799	journal-issue-011022	№ 2; № 3	2
article-031796	work-047811	journal-issue-011016	№ 2; № 3	2
article-031815	work-047830	journal-issue-011013	№ 4; № 5	4
article-031946	work-047962	journal-issue-011143	№ 12 (32)	12
article-032410	work-048427	journal-issue-011502	Вып. 2	
article-032411	work-048428	journal-issue-011502	Вып. 2	
article-032413	work-048430	journal-issue-011503	Вып. 3	
article-032582	work-048607	journal-issue-011531	№ 5 (37)	5
article-032593	work-048618	journal-issue-011529	Т. 11	
article-034016	work-047725	journal-issue-010972	№ 4 (26)	4
